地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_0至2時,59,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_2至4時,38,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_4至6時,10,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_6至8時,12,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_8至10時,24,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_10至12時,45,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_12至14時,62,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_14至16時,87,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_16至18時,53,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_18至20時,65,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_20至22時,64,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_22至24時,44,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_7至11歲,17,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_12歲,18,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_13歲,28,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_14歲,48,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_15歲,103,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_16歲,136,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_17歲,213,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_學生,307,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_工礦,54,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_餐飲服務,34,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_無固定職業,154,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_職業別-其他,14,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_國小及以下_在學,21,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_國小及以下_肄業,0,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_國小及以下_畢業,1,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_國中_在學,140,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_國中_肄業,47,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_國中_畢業,113,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_高中、職及以上_在學,151,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_高中、職及以上_肄業,74,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,少年(兒童)犯罪狀況(單位:人),分局別_高中、職及以上_畢業,16,2019-01-01T00:00:00,半年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
