Chr,Num,Lgl,Date1,Date2,DateTime1,DateTime2,Factor,OrderFactor
1,1,TRUE,2021-10-01,2021-01-01,2021-10-01T12:00:00+0800,2021-01-01T12:00:00+0800,cat,less than 10
2,2,FALSE,2021-10-02,2021-01-02,2021-10-02T12:00:00+0800,2021-01-02T12:00:00+0800,dog,more than 10
3,3,TRUE,2021-10-03,2021-01-03,2021-10-03T12:00:00+0800,2021-01-03T12:00:00+0800,bird,less than 10
4,4,TRUE,2021-10-04,2021-01-04,2021-10-04T12:00:00+0800,2021-01-04T12:00:00+0800,cat,more than 10
5,5,FALSE,2021-10-05,2021-01-05,2021-10-05T12:00:00+0800,2021-01-05T12:00:00+0800,dog,less than 10
6,6,TRUE,2021-10-06,2021-01-06,2021-10-06T12:00:00+0800,2021-01-06T12:00:00+0800,bird,more than 10
7,7,FALSE,2021-10-07,2021-01-07,2021-10-07T12:00:00+0800,2021-01-07T12:00:00+0800,cat,less than 10
8,8,TRUE,2021-10-08,2021-01-08,2021-10-08T12:00:00+0800,2021-01-08T12:00:00+0800,dog,more than 10
9,9,FALSE,2021-10-09,2021-01-09,2021-10-09T12:00:00+0800,2021-01-09T12:00:00+0800,bird,less than 10
10,10,TRUE,2021-10-10,2021-01-10,2021-10-10T12:00:00+0800,2021-01-10T12:00:00+0800,cat,more than 10
